# mask benchmark baseline (regenerated before every release)
#
# Scope: every utility primitive plus every domain rule exposed via Apply.
# Regenerate with 'make bench > bench.txt', strip ANSI and 'PASS'/'ok' trailers,
# and commit in the same PR as any performance-affecting change.
# CI consumes this file via the benchstat regression guard (see issue #17).

goos: darwin
goarch: arm64
pkg: github.com/axonops/mask
cpu: Apple M2
BenchmarkApply_swift_bic_8-8                          	21664804	        56.39 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_swift_bic_11-8                         	19437591	        60.93 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_swift_bic_invalid-8                    	28787103	        41.96 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_monetary_amount-8                      	100000000	        11.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_medical_record_number_prefixed-8       	15995404	        75.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_medical_record_number_unprefixed-8     	16523737	        71.54 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_medical_record_number_fallback-8       	20618586	        58.09 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_medical_record_number_long-8           	  257670	      4652 ns/op	    1024 B/op	       1 allocs/op
BenchmarkApply_health_plan_beneficiary_id-8           	15354415	        76.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_medical_device_identifier-8            	16675804	        72.06 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_diagnosis_code-8                       	100000000	        10.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_prescription_text-8                    	100000000	        11.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkApply_email_address-8                        	22262865	        53.84 ns/op	      24 B/op	       1 allocs/op
BenchmarkApply_person_name_short-8                    	17526318	        68.21 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_person_name_long-8                     	 8515358	       140.0 ns/op	      32 B/op	       1 allocs/op
BenchmarkApply_given_name-8                           	23863658	        50.20 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_family_name-8                          	23904381	        49.98 ns/op	       8 B/op	       1 allocs/op
BenchmarkApply_street_address_short-8                 	12405130	        98.30 ns/op	      16 B/op	       1 allocs/op
BenchmarkApply_street_address_long-8                  	 1269486	       950.3 ns/op	     224 B/op	       1 allocs/op
BenchmarkApply_date_of_birth_iso-8                    	22984780	        52.06 ns/op	      16 B/op	       1 allocs/op
